gene_name,control_females_max_transcript_counts,control_males_max_transcript_counts,exposed_females_max_transcript_counts,exposed_males_max_transcript_counts,max_transcript_counts,females_controls_predom_isoform,females_exposed_predom_isoform,males_controls_predom_isoform,males_exposed_predom_isoform
LOC111109766,1,1,1,1,1,rna-XM_022445993.1,rna-XM_022445993.1,rna-XM_022445993.1,rna-XM_022445993.1
LOC111109767,2,1,2,2,2,rna-XM_022445994.1,rna-XM_022445994.1,rna-XM_022445994.1,rna-XM_022445994.1
LOC111109768,4,4,4,3,4,rna-XM_022445996.1,rna-XM_022445996.1,rna-XM_022445997.1,rna-XM_022445996.1
LOC111109769,4,4,2,4,4,rna-XM_022446011.1,rna-XM_022446011.1,rna-XM_022446011.1,rna-XM_022446011.1
LOC111109770,2,2,2,1,2,rna-XM_022446000.1,rna-XM_022446000.1,rna-XM_022446000.1,rna-XM_022446000.1
LOC111109771,1,1,1,1,1,rna-XM_022446002.1,rna-XM_022446002.1,rna-XM_022446002.1,rna-XM_022446002.1
LOC111109772,1,1,1,1,1,rna-XM_022446004.1,rna-XM_022446004.1,rna-XM_022446004.1,rna-XM_022446004.1
LOC111109773,1,1,1,1,1,rna-XM_022446005.1,rna-XM_022446005.1,rna-XM_022446005.1,rna-XM_022446005.1
LOC111109774,1,1,1,1,1,rna-XM_022446006.1,rna-XM_022446006.1,rna-XM_022446006.1,rna-XM_022446006.1
LOC111109775,1,1,1,1,1,rna-XM_022446007.1,rna-XM_022446007.1,rna-XM_022446007.1,rna-XM_022446007.1
LOC111109776,1,1,1,1,1,rna-XM_022446008.1,rna-XM_022446008.1,rna-XM_022446008.1,rna-XM_022446008.1
LOC111109777,1,1,1,1,1,rna-XM_022446009.1,rna-XM_022446009.1,rna-XM_022446009.1,rna-XM_022446009.1
LOC111109778,1,1,1,1,1,rna-XM_022446010.1,rna-XM_022446010.1,rna-XM_022446010.1,rna-XM_022446010.1
LOC111109779,1,1,1,1,1,rna-XM_022446012.1,rna-XM_022446012.1,rna-XM_022446012.1,rna-XM_022446012.1
LOC111109780,1,1,1,1,1,rna-XM_022446013.1,rna-XM_022446013.1,rna-XM_022446013.1,rna-XM_022446013.1
LOC111109781,1,1,1,1,1,rna-XM_022446014.1,rna-XM_022446014.1,rna-XM_022446014.1,rna-XM_022446014.1
LOC111109782,1,1,1,1,1,gene-LOC111109782,gene-LOC111109782,gene-LOC111109782,gene-LOC111109782
LOC111109783,2,2,1,2,2,rna-XM_022446015.1,rna-XM_022446015.1,rna-XM_022446015.1,rna-XM_022446015.1
LOC111109784,1,1,1,1,1,rna-XM_022446017.1,rna-XM_022446017.1,rna-XM_022446017.1,rna-XM_022446017.1
LOC111109785,1,1,1,1,1,rna-XM_022446019.1,rna-XM_022446019.1,rna-XM_022446019.1,rna-XM_022446019.1
LOC111109786,3,2,3,2,3,rna-XM_022446020.1,rna-XM_022446020.1,rna-XM_022446020.1,rna-XM_022446020.1
LOC111109787,1,1,1,1,1,rna-XM_022446023.1,rna-XM_022446023.1,rna-XM_022446023.1,rna-XM_022446023.1
LOC111109788,1,1,1,1,1,rna-XM_022446024.1,rna-XM_022446024.1,rna-XM_022446024.1,rna-XM_022446024.1
LOC111109789,1,1,1,1,1,rna-XR_002635702.1,rna-XR_002635702.1,rna-XR_002635702.1,rna-XR_002635702.1
LOC111109790,1,1,1,1,1,rna-XM_022446026.1,rna-XM_022446026.1,rna-XM_022446026.1,rna-XM_022446026.1
LOC111109791,1,1,1,1,1,rna-XM_022446027.1,rna-XM_022446027.1,rna-XM_022446027.1,rna-XM_022446027.1
LOC111109792,1,1,0,1,1,rna-XM_022446028.1,rna-XM_022446028.1,rna-XM_022446028.1,rna-XM_022446028.1
LOC111109793,1,2,1,2,2,rna-XM_022446032.1,rna-XM_022446032.1,rna-XM_022446032.1,rna-XM_022446032.1
LOC111109794,1,1,1,1,1,rna-XR_002635703.1,rna-XR_002635703.1,rna-XR_002635703.1,rna-XR_002635703.1
LOC111109795,1,1,1,1,1,rna-XM_022446029.1,rna-XM_022446029.1,rna-XM_022446029.1,rna-XM_022446029.1
LOC111109796,1,1,1,1,1,rna-XM_022446031.1,rna-XM_022446031.1,rna-XM_022446031.1,rna-XM_022446031.1
LOC111109797,1,1,1,1,1,rna-XM_022446033.1,rna-XM_022446033.1,rna-XM_022446033.1,rna-XM_022446033.1
LOC111109798,1,1,1,1,1,rna-XM_022446034.1,rna-XM_022446034.1,rna-XM_022446034.1,rna-XM_022446034.1
LOC111109799,1,1,1,1,1,rna-XM_022446035.1,rna-XM_022446035.1,rna-XM_022446035.1,rna-XM_022446035.1
LOC111109800,1,1,1,1,1,rna-XM_022446036.1,rna-XM_022446036.1,rna-XM_022446036.1,rna-XM_022446036.1
LOC111109801,1,1,1,1,1,rna-XM_022446037.1,rna-XM_022446037.1,rna-XM_022446037.1,rna-XM_022446037.1
LOC111109802,2,2,2,2,2,rna-XM_022446038.1,rna-XM_022446039.1,rna-XM_022446039.1,rna-XM_022446039.1
LOC111109803,1,2,2,2,2,rna-XM_022446041.1,rna-XM_022446041.1,rna-XM_022446041.1,rna-XM_022446041.1
LOC111109804,1,1,1,1,1,rna-XM_022446044.1,rna-XM_022446044.1,rna-XM_022446044.1,rna-XM_022446044.1
LOC111109805,1,1,1,1,1,rna-XM_022446045.1,rna-XM_022446045.1,rna-XM_022446045.1,rna-XM_022446045.1
LOC111109806,1,1,1,1,1,rna-XM_022446046.1,rna-XM_022446046.1,rna-XM_022446046.1,rna-XM_022446046.1
LOC111109807,1,1,1,1,1,rna-XM_022446047.1,rna-XM_022446047.1,rna-XM_022446047.1,rna-XM_022446047.1
LOC111109808,1,1,1,1,1,rna-XM_022446048.1,rna-XM_022446048.1,rna-XM_022446048.1,rna-XM_022446048.1
LOC111109809,1,1,1,1,1,rna-XM_022446052.1,rna-XM_022446052.1,rna-XM_022446052.1,rna-XM_022446052.1
LOC111109810,1,1,1,1,1,rna-XM_022446049.1,rna-XM_022446049.1,rna-XM_022446049.1,rna-XM_022446049.1
LOC111109811,1,1,1,1,1,rna-XM_022446050.1,rna-XM_022446050.1,rna-XM_022446050.1,rna-XM_022446050.1
LOC111109812,1,1,1,1,1,rna-XM_022446051.1,rna-XM_022446051.1,rna-XM_022446051.1,rna-XM_022446051.1
LOC111109813,1,1,1,1,1,rna-XM_022446053.1,rna-XM_022446053.1,rna-XM_022446053.1,rna-XM_022446053.1
LOC111109814,2,1,2,1,2,rna-XM_022446054.1,rna-XM_022446055.1,rna-XM_022446055.1,rna-XM_022446054.1
LOC111109815,1,1,1,1,1,rna-XM_022446056.1,rna-XM_022446056.1,rna-XM_022446056.1,rna-XM_022446056.1
LOC111109816,1,1,1,1,1,rna-XM_022446057.1,rna-XM_022446057.1,rna-XM_022446057.1,rna-XM_022446057.1
LOC111109817,1,1,1,1,1,rna-XM_022446058.1,rna-XM_022446058.1,rna-XM_022446058.1,rna-XM_022446058.1
LOC111109818,1,1,1,1,1,rna-XM_022446059.1,rna-XM_022446059.1,rna-XM_022446059.1,rna-XM_022446059.1
LOC111109819,3,3,3,3,3,rna-XM_022446063.1,rna-XM_022446063.1,rna-XM_022446063.1,rna-XM_022446063.1
LOC111109820,1,1,1,1,1,rna-XM_022446060.1,rna-XM_022446060.1,rna-XM_022446060.1,rna-XM_022446060.1
LOC111109821,1,1,2,2,2,rna-XM_022446061.1,rna-XM_022446062.1,rna-XM_022446061.1,rna-XM_022446062.1
LOC111109822,1,1,1,1,1,rna-XM_022446064.1,rna-XM_022446064.1,rna-XM_022446064.1,rna-XM_022446064.1
LOC111109823,1,1,1,1,1,rna-XR_002635704.1,rna-XR_002635704.1,rna-XR_002635704.1,rna-XR_002635704.1
LOC111109824,1,1,1,1,1,rna-XM_022446065.1,rna-XM_022446065.1,rna-XM_022446065.1,rna-XM_022446065.1
LOC111109825,1,1,1,1,1,rna-XM_022446066.1,rna-XM_022446066.1,rna-XM_022446066.1,rna-XM_022446066.1
LOC111109826,1,1,1,1,1,rna-XM_022446067.1,rna-XM_022446067.1,rna-XM_022446067.1,rna-XM_022446067.1
LOC111109827,1,1,1,1,1,rna-XM_022446069.1,rna-XM_022446069.1,rna-XM_022446069.1,rna-XM_022446069.1
LOC111109828,1,1,1,1,1,rna-XM_022446070.1,rna-XM_022446070.1,rna-XM_022446070.1,rna-XM_022446070.1
LOC111109829,1,1,1,2,2,rna-XM_022446072.1,rna-XM_022446072.1,rna-XM_022446072.1,rna-XM_022446072.1
LOC111109830,1,1,1,1,1,rna-XR_002635705.1,rna-XR_002635705.1,rna-XR_002635705.1,rna-XR_002635705.1
LOC111109831,3,1,2,2,3,rna-XM_022446074.1,rna-XM_022446076.1,rna-XM_022446076.1,rna-XM_022446076.1
LOC111109832,3,3,3,3,3,rna-XM_022446077.1,rna-XM_022446077.1,rna-XM_022446077.1,rna-XM_022446077.1
LOC111109833,1,2,1,1,2,rna-XM_022446082.1,rna-XM_022446082.1,rna-XM_022446082.1,rna-XM_022446082.1
LOC111109834,1,1,1,1,1,rna-XM_022446083.1,rna-XM_022446083.1,rna-XM_022446083.1,rna-XM_022446083.1
LOC111109835,1,1,1,1,1,rna-XM_022446084.1,rna-XM_022446084.1,rna-XM_022446084.1,rna-XM_022446084.1
LOC111109836,1,1,1,1,1,rna-XM_022446085.1,rna-XM_022446085.1,rna-XM_022446085.1,rna-XM_022446085.1
LOC111109837,1,1,1,1,1,rna-XM_022446086.1,rna-XM_022446086.1,rna-XM_022446086.1,rna-XM_022446086.1
LOC111109838,1,1,1,1,1,rna-XR_002635706.1,rna-XR_002635706.1,rna-XR_002635706.1,rna-XR_002635706.1
LOC111109839,1,1,1,1,1,rna-XM_022446090.1,rna-XM_022446090.1,rna-XM_022446090.1,rna-XM_022446090.1
LOC111109840,1,2,1,2,2,rna-XM_022446087.1,rna-XM_022446087.1,rna-XM_022446087.1,rna-XM_022446087.1
LOC111109841,1,1,1,1,1,rna-XM_022446089.1,rna-XM_022446089.1,rna-XM_022446089.1,rna-XM_022446089.1
LOC111109842,1,1,1,1,1,rna-XM_022446091.1,rna-XM_022446091.1,rna-XM_022446091.1,rna-XM_022446091.1
LOC111109843,1,1,1,1,1,rna-XM_022446092.1,rna-XM_022446092.1,rna-XM_022446092.1,rna-XM_022446092.1
LOC111109844,1,1,1,1,1,rna-XM_022446093.1,rna-XM_022446093.1,rna-XM_022446093.1,rna-XM_022446093.1
LOC111109845,2,2,2,2,2,rna-XM_022446095.1,rna-XM_022446094.1,rna-XM_022446094.1,rna-XM_022446094.1
LOC111109846,1,2,1,2,2,rna-XM_022446097.1,rna-XM_022446097.1,rna-XM_022446097.1,rna-XM_022446097.1
LOC111109847,1,1,1,1,1,rna-XM_022446098.1,rna-XM_022446098.1,rna-XM_022446098.1,rna-XM_022446098.1
LOC111109848,1,1,1,1,1,rna-XM_022446101.1,rna-XM_022446101.1,rna-XM_022446101.1,rna-XM_022446101.1
LOC111109849,1,1,1,1,1,gene-LOC111109849,gene-LOC111109849,gene-LOC111109849,gene-LOC111109849
LOC111109850,1,1,1,1,1,rna-XM_022446099.1,rna-XM_022446099.1,rna-XM_022446099.1,rna-XM_022446099.1
LOC111109851,1,1,1,1,1,rna-XM_022446100.1,rna-XM_022446100.1,rna-XM_022446100.1,rna-XM_022446100.1
LOC111109852,5,1,1,2,5,rna-XM_022446102.1,rna-XR_002635708.1,rna-XR_002635708.1,rna-XR_002635708.1
LOC111109853,1,1,1,1,1,rna-XM_022446104.1,rna-XM_022446104.1,rna-XM_022446104.1,rna-XM_022446104.1
LOC111109854,1,1,1,1,1,rna-XM_022446105.1,rna-XM_022446105.1,rna-XM_022446105.1,rna-XM_022446105.1
LOC111109855,1,1,2,1,2,rna-XM_022446107.1,rna-XM_022446106.1,rna-XM_022446107.1,rna-XM_022446107.1
LOC111109856,1,1,1,1,1,rna-XM_022446110.1,rna-XM_022446110.1,rna-XM_022446110.1,rna-XM_022446110.1
LOC111109857,1,1,1,1,1,rna-XM_022446108.1,rna-XM_022446108.1,rna-XM_022446108.1,rna-XM_022446108.1
LOC111109858,1,1,1,1,1,rna-XM_022446109.1,rna-XM_022446109.1,rna-XM_022446109.1,rna-XM_022446109.1
LOC111109859,1,1,1,1,1,rna-XR_002635713.1,rna-XR_002635713.1,rna-XR_002635713.1,rna-XR_002635713.1
LOC111109860,1,1,1,1,1,rna-XM_022446111.1,rna-XM_022446111.1,rna-XM_022446111.1,rna-XM_022446111.1
LOC111109861,1,1,1,1,1,rna-XM_022446112.1,rna-XM_022446112.1,rna-XM_022446112.1,rna-XM_022446112.1
LOC111109862,3,1,3,2,3,rna-XM_022446113.1,rna-XM_022446113.1,rna-XM_022446113.1,rna-XM_022446113.1
LOC111109863,1,1,1,1,1,rna-XM_022446116.1,rna-XM_022446116.1,rna-XM_022446116.1,rna-XM_022446116.1
LOC111109864,1,1,1,1,1,rna-XM_022446117.1,rna-XM_022446117.1,rna-XM_022446117.1,rna-XM_022446117.1
LOC111109865,1,1,1,1,1,rna-XM_022446122.1,rna-XM_022446122.1,rna-XM_022446122.1,rna-XM_022446122.1
LOC111109866,1,1,1,1,1,rna-XM_022446118.1,rna-XM_022446118.1,rna-XM_022446118.1,rna-XM_022446118.1
LOC111109867,1,1,0,1,1,rna-XM_022446119.1,rna-XM_022446119.1,rna-XM_022446119.1,rna-XM_022446119.1
LOC111109868,3,2,2,2,3,rna-XM_022446123.1,rna-XM_022446123.1,rna-XM_022446120.1,rna-XM_022446123.1
LOC111109869,2,2,2,2,2,rna-XM_022446124.1,rna-XM_022446124.1,rna-XM_022446124.1,rna-XM_022446124.1
LOC111109870,1,1,1,1,1,rna-XM_022446127.1,rna-XM_022446127.1,rna-XM_022446127.1,rna-XM_022446127.1
LOC111109871,0,1,0,1,1,rna-XR_002635714.1,rna-XR_002635714.1,rna-XR_002635714.1,rna-XR_002635714.1
LOC111109872,0,1,0,1,1,rna-XR_002635715.1,rna-XR_002635715.1,rna-XR_002635715.1,rna-XR_002635715.1
LOC111109873,2,1,2,1,2,rna-XM_022446139.1,rna-XM_022446139.1,rna-XM_022446139.1,rna-XM_022446139.1
LOC111109874,1,1,1,1,1,rna-XM_022446129.1,rna-XM_022446129.1,rna-XM_022446129.1,rna-XM_022446129.1
LOC111109875,1,1,1,1,1,rna-XM_022446130.1,rna-XM_022446130.1,rna-XM_022446130.1,rna-XM_022446130.1
LOC111109876,1,1,1,1,1,rna-XR_002635716.1,rna-XR_002635716.1,rna-XR_002635716.1,rna-XR_002635716.1
LOC111109877,1,1,1,1,1,rna-XR_002635717.1,rna-XR_002635717.1,rna-XR_002635717.1,rna-XR_002635717.1
LOC111109878,1,1,1,1,1,rna-XM_022446132.1,rna-XM_022446132.1,rna-XM_022446132.1,rna-XM_022446132.1
LOC111109879,3,1,2,1,3,rna-XM_022446133.1,rna-XM_022446133.1,rna-XM_022446133.1,rna-XM_022446133.1
LOC111109880,1,1,1,1,1,rna-XM_022446136.1,rna-XM_022446136.1,rna-XM_022446136.1,rna-XM_022446136.1
LOC111109881,1,1,1,1,1,rna-XM_022446137.1,rna-XM_022446137.1,rna-XM_022446137.1,rna-XM_022446137.1
LOC111109882,1,1,1,1,1,rna-XM_022446138.1,rna-XM_022446138.1,rna-XM_022446138.1,rna-XM_022446138.1
LOC111109883,1,1,1,1,1,rna-XM_022446140.1,rna-XM_022446140.1,rna-XM_022446140.1,rna-XM_022446140.1
LOC111109884,1,1,1,1,1,rna-XM_022446141.1,rna-XM_022446141.1,rna-XM_022446141.1,rna-XM_022446141.1
LOC111109885,5,4,5,6,6,rna-XM_022446143.1,rna-XM_022446143.1,rna-XM_022446142.1,rna-XM_022446144.1
LOC111109886,1,1,1,1,1,rna-XM_022446148.1,rna-XM_022446148.1,rna-XM_022446148.1,rna-XM_022446148.1
LOC111109887,1,1,1,1,1,rna-XM_022446153.1,rna-XM_022446153.1,rna-XM_022446153.1,rna-XM_022446153.1
LOC111109888,1,1,1,1,1,rna-XM_022446149.1,rna-XM_022446149.1,rna-XM_022446149.1,rna-XM_022446149.1
LOC111109889,2,1,2,1,2,rna-XM_022446150.1,rna-XM_022446150.1,rna-XM_022446150.1,rna-XM_022446150.1
LOC111109890,1,1,1,1,1,rna-XM_022446155.1,rna-XM_022446155.1,rna-XM_022446155.1,rna-XM_022446155.1
LOC111109891,1,1,1,1,1,rna-XM_022446157.1,rna-XM_022446157.1,rna-XM_022446157.1,rna-XM_022446157.1
LOC111109892,1,1,1,1,1,rna-XM_022446158.1,rna-XM_022446158.1,rna-XM_022446158.1,rna-XM_022446158.1
LOC111109893,2,1,2,1,2,rna-XR_002635718.1,rna-XR_002635718.1,rna-XR_002635719.1,rna-XR_002635719.1
LOC111109894,1,1,1,1,1,rna-XR_002635720.1,rna-XR_002635720.1,rna-XR_002635720.1,rna-XR_002635720.1
LOC111109895,1,1,1,1,1,rna-XR_002635721.1,rna-XR_002635721.1,rna-XR_002635721.1,rna-XR_002635721.1
LOC111109896,1,1,1,1,1,rna-XM_022446162.1,rna-XM_022446162.1,rna-XM_022446162.1,rna-XM_022446162.1
LOC111109897,1,1,1,1,1,rna-XR_002635722.1,rna-XR_002635722.1,rna-XR_002635722.1,rna-XR_002635722.1
LOC111109898,1,1,1,1,1,rna-XM_022446159.1,rna-XM_022446159.1,rna-XM_022446159.1,rna-XM_022446159.1
LOC111109899,1,1,1,1,1,rna-XM_022446163.1,rna-XM_022446163.1,rna-XM_022446163.1,rna-XM_022446163.1
LOC111109900,1,1,1,1,1,rna-XM_022446166.1,rna-XM_022446166.1,rna-XM_022446166.1,rna-XM_022446166.1
LOC111109901,1,1,1,1,1,rna-XM_022446167.1,rna-XM_022446167.1,rna-XM_022446167.1,rna-XM_022446167.1
LOC111109902,1,1,1,1,1,rna-XM_022446168.1,rna-XM_022446168.1,rna-XM_022446168.1,rna-XM_022446168.1
LOC111109903,1,1,1,1,1,rna-XM_022446169.1,rna-XM_022446169.1,rna-XM_022446169.1,rna-XM_022446169.1
LOC111109904,1,1,1,1,1,rna-XM_022446174.1,rna-XM_022446174.1,rna-XM_022446174.1,rna-XM_022446174.1
LOC111109905,1,1,1,1,1,rna-XM_022446171.1,rna-XM_022446171.1,rna-XM_022446171.1,rna-XM_022446171.1
LOC111109906,1,1,1,1,1,rna-XM_022446172.1,rna-XM_022446172.1,rna-XM_022446172.1,rna-XM_022446172.1
LOC111109907,1,1,1,1,1,rna-XM_022446173.1,rna-XM_022446173.1,rna-XM_022446173.1,rna-XM_022446173.1
LOC111109908,1,1,1,1,1,rna-XR_002635723.1,rna-XR_002635723.1,rna-XR_002635723.1,rna-XR_002635723.1
LOC111109909,1,1,1,1,1,rna-XM_022446175.1,rna-XM_022446175.1,rna-XM_022446175.1,rna-XM_022446175.1
LOC111109910,1,1,2,1,2,rna-XR_002635724.1,rna-XR_002635724.1,rna-XR_002635724.1,rna-XR_002635724.1
LOC111109911,1,1,1,1,1,gene-LOC111109911,gene-LOC111109911,gene-LOC111109911,gene-LOC111109911
LOC111109912,1,1,1,1,1,rna-XM_022446176.1,rna-XM_022446176.1,rna-XM_022446176.1,rna-XM_022446176.1
LOC111109913,1,1,1,1,1,rna-XM_022446177.1,rna-XM_022446177.1,rna-XM_022446177.1,rna-XM_022446177.1
LOC111109914,2,1,1,1,2,rna-XM_022446178.1,rna-XM_022446178.1,rna-XM_022446178.1,rna-XM_022446178.1
LOC111109915,1,1,1,1,1,rna-XM_022446181.1,rna-XM_022446181.1,rna-XM_022446181.1,rna-XM_022446181.1
LOC111109916,4,4,2,2,4,rna-XR_002635729.1,rna-XR_002635729.1,rna-XR_002635729.1,rna-XR_002635729.1
LOC111109917,1,1,1,1,1,rna-XM_022446182.1,rna-XM_022446182.1,rna-XM_022446182.1,rna-XM_022446182.1
LOC111109918,1,2,1,2,2,rna-XM_022446183.1,rna-XM_022446183.1,rna-XM_022446184.1,rna-XM_022446184.1
LOC111109919,1,2,1,2,2,rna-XM_022446185.1,rna-XM_022446185.1,rna-XM_022446185.1,rna-XM_022446185.1
LOC111109920,1,1,1,1,1,rna-XM_022446187.1,rna-XM_022446187.1,rna-XM_022446187.1,rna-XM_022446187.1
LOC111109921,1,1,1,1,1,rna-XM_022446188.1,rna-XM_022446188.1,rna-XM_022446188.1,rna-XM_022446188.1
LOC111109922,1,1,1,1,1,rna-XM_022446189.1,rna-XM_022446189.1,rna-XM_022446189.1,rna-XM_022446189.1
LOC111109923,1,1,1,1,1,rna-XM_022446193.1,rna-XM_022446193.1,rna-XM_022446193.1,rna-XM_022446193.1
LOC111109924,1,1,1,1,1,rna-XM_022446190.1,rna-XM_022446190.1,rna-XM_022446190.1,rna-XM_022446190.1
LOC111109925,2,1,1,1,2,rna-XM_022446191.1,rna-XM_022446191.1,rna-XM_022446191.1,rna-XM_022446191.1
LOC111109926,1,1,1,1,1,rna-XM_022446194.1,rna-XM_022446194.1,rna-XM_022446194.1,rna-XM_022446194.1
LOC111109927,1,1,1,1,1,rna-XM_022446195.1,rna-XM_022446195.1,rna-XM_022446195.1,rna-XM_022446195.1
LOC111109928,1,1,1,1,1,rna-XM_022446196.1,rna-XM_022446196.1,rna-XM_022446196.1,rna-XM_022446196.1
LOC111109929,1,1,1,1,1,rna-XM_022446197.1,rna-XM_022446197.1,rna-XM_022446197.1,rna-XM_022446197.1
LOC111109930,2,2,1,2,2,rna-XR_002635730.1,rna-XR_002635730.1,rna-XM_022446198.1,rna-XR_002635730.1
LOC111109931,1,1,1,1,1,rna-XM_022446199.1,rna-XM_022446199.1,rna-XM_022446199.1,rna-XM_022446199.1
LOC111109932,2,2,2,2,2,rna-XM_022446200.1,rna-XM_022446200.1,rna-XM_022446200.1,rna-XM_022446200.1
LOC111109933,1,1,1,1,1,rna-XM_022446204.1,rna-XM_022446204.1,rna-XM_022446204.1,rna-XM_022446204.1
LOC111109934,1,1,1,1,1,rna-XM_022446202.1,rna-XM_022446202.1,rna-XM_022446202.1,rna-XM_022446202.1
LOC111109935,1,1,1,1,1,rna-XM_022446203.1,rna-XM_022446203.1,rna-XM_022446203.1,rna-XM_022446203.1
LOC111109936,1,1,1,1,1,rna-XM_022446205.1,rna-XM_022446205.1,rna-XM_022446205.1,rna-XM_022446205.1
LOC111109937,2,1,2,1,2,rna-XR_002635731.1,rna-XR_002635731.1,rna-XM_022446206.1,rna-XM_022446206.1
LOC111109938,1,1,1,1,1,rna-XM_022446207.1,rna-XM_022446207.1,rna-XM_022446207.1,rna-XM_022446207.1
LOC111109939,1,1,1,1,1,rna-XR_002635732.1,rna-XR_002635732.1,rna-XR_002635732.1,rna-XR_002635732.1
LOC111109940,2,1,1,1,2,rna-XM_022446208.1,rna-XM_022446209.1,rna-XM_022446208.1,rna-XM_022446208.1
LOC111109941,1,1,1,1,1,rna-XR_002635733.1,rna-XR_002635733.1,rna-XR_002635733.1,rna-XR_002635733.1
LOC111109942,2,2,2,2,2,rna-XM_022446215.1,rna-XM_022446215.1,rna-XM_022446215.1,rna-XM_022446215.1
LOC111109943,1,1,1,1,1,rna-XM_022446211.1,rna-XM_022446211.1,rna-XM_022446211.1,rna-XM_022446211.1
LOC111109944,2,2,1,2,2,rna-XM_022446213.1,rna-XM_022446213.1,rna-XM_022446213.1,rna-XM_022446213.1
LOC111109945,1,1,1,1,1,rna-XM_022446214.1,rna-XM_022446214.1,rna-XM_022446214.1,rna-XM_022446214.1
LOC111109946,1,1,1,1,1,rna-XM_022446216.1,rna-XM_022446216.1,rna-XM_022446216.1,rna-XM_022446216.1
LOC111109947,3,3,3,3,3,rna-XM_022446219.1,rna-XM_022446219.1,rna-XM_022446219.1,rna-XM_022446219.1
LOC111109948,2,2,2,2,2,rna-XM_022446220.1,rna-XM_022446220.1,rna-XM_022446220.1,rna-XM_022446220.1
LOC111109949,7,6,7,6,7,rna-XR_002635735.1,rna-XR_002635735.1,rna-XR_002635735.1,rna-XR_002635735.1
LOC111109950,1,1,1,1,1,rna-XM_022446229.1,rna-XM_022446229.1,rna-XM_022446229.1,rna-XM_022446229.1
LOC111109951,1,1,1,1,1,rna-XM_022446230.1,rna-XM_022446230.1,rna-XM_022446230.1,rna-XM_022446230.1
LOC111109952,1,1,1,1,1,rna-XM_022446231.1,rna-XM_022446231.1,rna-XM_022446231.1,rna-XM_022446231.1
LOC111109953,1,2,1,2,2,rna-XM_022446236.1,rna-XM_022446236.1,rna-XM_022446236.1,rna-XM_022446236.1
LOC111109954,1,1,1,1,1,rna-XM_022446232.1,rna-XM_022446232.1,rna-XM_022446232.1,rna-XM_022446232.1
LOC111109955,2,2,2,2,2,rna-XM_022446234.1,rna-XM_022446233.1,rna-XM_022446233.1,rna-XM_022446233.1
LOC111109956,1,1,1,1,1,rna-XM_022446235.1,rna-XM_022446235.1,rna-XM_022446235.1,rna-XM_022446235.1
LOC111109957,1,1,1,1,1,rna-XM_022446237.1,rna-XM_022446237.1,rna-XM_022446237.1,rna-XM_022446237.1
LOC111109958,1,1,1,1,1,rna-XM_022446238.1,rna-XM_022446238.1,rna-XM_022446238.1,rna-XM_022446238.1
LOC111109959,1,1,1,1,1,rna-XR_002635736.1,rna-XR_002635736.1,rna-XR_002635736.1,rna-XR_002635736.1
LOC111109960,1,1,1,1,1,rna-XR_002635737.1,rna-XR_002635737.1,rna-XR_002635737.1,rna-XR_002635737.1
LOC111109961,1,1,1,1,1,rna-XM_022446239.1,rna-XM_022446239.1,rna-XM_022446239.1,rna-XM_022446239.1
LOC111109962,3,3,3,3,3,rna-XM_022446241.1,rna-XM_022446241.1,rna-XM_022446240.1,rna-XM_022446241.1
LOC111109963,1,1,1,2,2,rna-XM_022446246.1,rna-XM_022446246.1,rna-XM_022446246.1,rna-XM_022446246.1
LOC111109964,3,3,3,3,3,rna-XR_002635740.1,rna-XR_002635740.1,rna-XR_002635738.1,rna-XR_002635738.1
LOC111109965,2,2,2,2,2,rna-XM_022446249.1,rna-XM_022446249.1,rna-XM_022446250.1,rna-XM_022446250.1
LOC111109966,1,1,1,1,1,rna-XM_022446254.1,rna-XM_022446254.1,rna-XM_022446254.1,rna-XM_022446254.1
LOC111109967,1,1,1,1,1,rna-XM_022446251.1,rna-XM_022446251.1,rna-XM_022446251.1,rna-XM_022446251.1
LOC111109968,1,1,1,1,1,rna-XM_022446252.1,rna-XM_022446252.1,rna-XM_022446252.1,rna-XM_022446252.1
LOC111109969,1,1,1,1,1,rna-XM_022446253.1,rna-XM_022446253.1,rna-XM_022446253.1,rna-XM_022446253.1
LOC111109970,1,1,1,1,1,rna-XM_022446255.1,rna-XM_022446255.1,rna-XM_022446255.1,rna-XM_022446255.1
LOC111109971,1,1,1,1,1,rna-XM_022446256.1,rna-XM_022446256.1,rna-XM_022446256.1,rna-XM_022446256.1
LOC111109972,1,1,1,1,1,rna-XM_022446257.1,rna-XM_022446257.1,rna-XM_022446257.1,rna-XM_022446257.1
LOC111109973,8,6,8,7,8,rna-XM_022446263.1,rna-XR_002635742.1,rna-XR_002635741.1,rna-XM_022446262.1
LOC111109974,1,1,1,2,2,rna-XM_022446274.1,rna-XM_022446274.1,rna-XM_022446274.1,rna-XM_022446274.1
LOC111109975,1,1,1,1,1,rna-XM_022446265.1,rna-XM_022446265.1,rna-XM_022446265.1,rna-XM_022446265.1
LOC111109976,1,1,1,1,1,rna-XM_022446267.1,rna-XM_022446267.1,rna-XM_022446267.1,rna-XM_022446267.1
LOC111109977,1,1,1,1,1,rna-XM_022446268.1,rna-XM_022446268.1,rna-XM_022446268.1,rna-XM_022446268.1
LOC111109978,1,1,1,1,1,rna-XM_022446269.1,rna-XM_022446269.1,rna-XM_022446269.1,rna-XM_022446269.1
