gene	SPID
LOC111124990	Q9ULJ7
LOC111122730	Q90X89
LOC111125634	A2ASS6
LOC111127450	Q6GPQ3
LOC111125917	O16098
LOC111126797	Q64620
LOC111125663	Q5ZJY3
LOC111123232	Q5ZIH0
LOC111126619	A0JPI9
LOC111126547	Q0VAA2
LOC111123608	Q9GKT2
LOC111126778	Q29MA5
LOC111123128	Q5JS13
LOC111123132	Q5EAR5
LOC111123130	A2AGA4
LOC111123129	D3ZWZ9
LOC111123125	P60882
LOC111123131	Q76KB1
LOC111123127	Q96I24
LOC111124494	Q6DCZ7
LOC111124494	Q96RU3
LOC111126575	F6QEU4
LOC111126810	O61307
LOC111123670	Q8VCW8
LOC111122971	O00625
LOC111127302	O00625
LOC111125035	Q9ULJ7
LOC111122910	Q90X89
LOC111125025	A8DYP0
LOC111125650	Q28EL0
LOC111126090	Q5BJQ6
LOC111124146	Q96NR8
LOC111126058	Q9QYF1
LOC111125661	Q9Y345
LOC111127376	Q9W0E8
LOC111125712	Q641B9
LOC111127437	P17078
LOC111125234	Q5T9S5
LOC111126614	Q26481
LOC111127480	Q3ZT31
LOC111123257	Q9H3E2
LOC111123264	Q5ZLC6
LOC111124152	Q68RJ7
LOC111123258	P78348
LOC111123259	Q708S6
LOC111123256	B9EJ80
LOC111123261	Q96MM6
LOC111123263	A1L112
LOC111123266	Q9VWK6
LOC111123262	Q7SYE0
LOC111123267	Q2ABP2
LOC111123271	A6H7B8
LOC111123268	Q2ABP2
LOC111123277	Q96EQ9
LOC111123265	Q9NQW5
LOC111127358	Q2LE78
LOC111125006	Q9NZJ4
LOC111125004	Q9NZJ4
LOC111124025	Q9NZJ4
LOC111126558	O60218
LOC111126490	Q03412
LOC111125858	Q9UBQ7
LOC111124157	Q95M17
LOC111125216	Q95M17
LOC111125218	Q9UBQ7
LOC111125217	Q95M17
LOC111125215	Q95M17
LOC111123298	Q9Z173
LOC111122587	P35803
LOC111126767	A7Y2W8
LOC111127108	Q6GPQ3
LOC111125843	O16098
LOC111126639	Q64620
LOC111124160	Q9UUA2
LOC111125032	Q5ZJY3
LOC111123399	Q5ZIH0
LOC111123763	A0JPI9
LOC111126912	Q0VAA2
LOC111126451	Q9GKT2
LOC111124162	Q6ZFH6
LOC111126471	Q29MA5
LOC111123825	Q5JS13
LOC111123826	Q5EAR5
LOC111123021	A2AGA4
LOC111124579	D3ZWZ9
LOC111123921	P60882
LOC111126772	Q76KB1
LOC111126771	Q96I24
LOC111123802	Q6DCZ7
LOC111123802	Q96RU3
LOC111126420	F6QEU4
LOC111123879	Q9NXL6
LOC111123878	Q7TSV3
LOC111125383	Q6BD04
LOC111126570	A0A345BJN8
LOC111126035	Q28DG7
LOC111127380	Q91784
LOC111126784	F1R8P4
LOC111126783	F1R8P4
LOC111124166	Q91XP5
LOC111124167	D4A6L0
LOC111125533	Q5R628
LOC111125534	O60229
LOC111125649	Q08E39
LOC111124673	Q05D44
LOC111126647	P31646
LOC111126499	Q9D281
LOC111126498	Q9CPW7
LOC111126052	Q9QXV3
LOC111126073	Q90W58
LOC111126072	Q8K4T5
LOC111127646	A2RSY6
LOC111127646	Q4R6C7
LOC111127644	O02768
LOC111127642	Q7T0T9
LOC111122987	A2AN08
LOC111123726	Q5XKL5
LOC111123728	Q12933
LOC111123730	O95295
LOC111123729	P09118
LOC111124607	Q3TBT3
LOC111124608	Q3TBT3
LOC111124610	Q3TBT3
LOC111124611	Q3ZBX1
LOC111124606	Q0VFN8
LOC111123213	Q92506
LOC111123996	Q2KIK0
LOC111123993	Q9P1Z9
LOC111123995	Q6TXF1
LOC111127668	Q5IFJ8
LOC111127669	B8PYG1
LOC111122923	A4FV48
LOC111122784	Q9D9P2
LOC111125903	A7MAZ3
LOC111125710	E9Q5F9
LOC111125711	P42678
LOC111123869	Q71RC2
LOC111124005	Q91WJ7
LOC111124004	F1P4W9
LOC111126688	Q6DEF6
LOC111123597	Q68CR1
LOC111123082	Q8TB22
LOC111122866	Q9CWR2
LOC111125204	Q6IP59
LOC111126525	Q7T2B0
LOC111123625	Q9QXV3
LOC111126208	Q90W58
LOC111126206	Q8K4T5
LOC111126196	A2RSY6
LOC111126196	Q496Z9
LOC111123664	O02768
LOC111123661	Q7T0T9
LOC111122797	Q5T4S7
LOC111122797	A2AN08
LOC111124169	Q12933
LOC111124997	O95295
LOC111125472	Q3TBT3
LOC111125473	Q3ZBX1
LOC111125471	Q0VFN8
LOC111125936	Q92506
LOC111124904	Q9P1Z9
LOC111124905	Q7TPQ9
LOC111127389	Q5IFJ8
LOC111127390	B8PYG1
LOC111126646	A4FV48
LOC111127636	Q9D9P2
LOC111126004	A7MAZ3
LOC111126659	E9Q5F9
LOC111123093	P42678
LOC111123806	Q71RC2
LOC111125758	Q91WJ7
LOC111125872	F1P4W9
LOC111126662	Q6DEF6
LOC111123593	Q80TS8
LOC111122986	Q8TB22
LOC111124582	Q9CWR2
LOC111124581	E7FAM5
LOC111124580	Q6IP59
LOC111126436	Q7T2B0
LOC111125375	P49797
LOC111126670	Q10341
LOC111122689	E9Q309
LOC111126492	Q8HZM5
LOC111124171	Q96MB7
LOC111126809	P20478
LOC111126472	Q9Z1J2
LOC111126473	Q1LWV4
LOC111124172	Q5VT06
LOC111123929	Q8HZM5
LOC111123928	P20478
LOC111123927	Q1LWV4
LOC111126390	Q3TQI7
LOC111124748	Q02485
LOC111124749	Q9H9B1
LOC111123367	Q6TFL4
LOC111126357	R9UTQ8
LOC111126355	A0JPE1
LOC111126356	O75063
LOC111126352	Q6UVM3
LOC111126352	Q8QFV0
LOC111126885	F4KGU4
LOC111125835	P10155
LOC111125836	Q25532
LOC111126894	Q9EPE9
LOC111123492	P41778
LOC111123492	Q7PMT1
LOC111122534	P32297
LOC111124177	O35613
LOC111125721	B3RNE8
LOC111123310	Q6MG06
LOC111123302	Q91XA9
LOC111123317	Q6RY07
LOC111123307	Q9VAC5
LOC111123316	P56962
LOC111123315	O13262
LOC111123304	P26342
LOC111123312	Q9W6S3
LOC111123308	Q91YR5
LOC111123313	F7J184
LOC111123314	Q6DHJ3
LOC111123311	Q8BH27
LOC111124186	B3RNE8
LOC111124187	Q6MG06
LOC111123303	Q91XA9
LOC111127133	Q9VAC5
LOC111122737	P56962
LOC111122736	Q16515
LOC111123936	P26342
LOC111127214	Q9W6S3
LOC111127215	Q91YR5
LOC111127059	F7J184
LOC111126872	Q6DHJ3
LOC111126617	Q8BH27
LOC111124193	P08503
LOC111124194	D3YXG0
LOC111125288	P12111
LOC111126616	A2ARI4
LOC111123477	Q14684
LOC111124196	B4F6U4
LOC111124985	Q03412
LOC111125665	P49696
LOC111126790	Q3T0L2
LOC111126022	Q99LM9
LOC111125076	O57590
LOC111125074	Q5M7G4
LOC111126682	P49796
LOC111127162	Q8BK03
LOC111127161	Q9QYP1
LOC111125548	P46782
LOC111125219	O75096
LOC111126658	Q8N8U9
LOC111127105	Q6AX60
LOC111125635	P59055
LOC111124908	Q9Z0R9
LOC111122941	Q9NWY4
LOC111125788	Q9VE46
LOC111123123	O43805
LOC111126527	P52947
LOC111127444	Q9H4S2
LOC111127166	Q13003
LOC111126516	P42262
LOC111125740	Q5W041
LOC111125856	Q923Q2
LOC111123221	Q5T7V8
LOC111123221	A5PKK7
LOC111123223	Q9NPC3
LOC111123218	O15457
LOC111123220	Q5ZLS8
LOC111125122	Q80TI0
LOC111124198	Q15526
LOC111126886	Q18359
LOC111125023	Q80TI0
LOC111124199	Q15526
LOC111126983	Q18359
LOC111126157	Q2KIN5
LOC111123544	Q96CM8
LOC111123547	Q6PCJ9
LOC111123546	Q6PCJ9
LOC111125147	Q6PIJ6
LOC111125148	P14173
LOC111124587	Q5T5J6
LOC111124587	Q9DBQ9
LOC111124585	A2AJ15
LOC111124585	B2GUY0
LOC111124585	Q9UKM7
LOC111124589	Q6DRC4
LOC111124588	Q6GMK0
LOC111123434	Q91XQ0
LOC111123440	Q96DM1
LOC111122602	Q13467
LOC111122603	Q99612
LOC111123144	P52485
LOC111123835	Q32LP4
LOC111126461	Q9D113
LOC111125194	P15454
LOC111125192	Q8C341
LOC111125193	Q96DM1
LOC111123243	O14523
LOC111126105	Q6R5N8
LOC111123900	P26640
LOC111127293	P60027
LOC111127011	Q6P7L4
LOC111125726	Q08890
LOC111124716	P28648
LOC111124887	B2RY50
LOC111123923	P49869
LOC111125295	A5YM72
LOC111125296	Q5RB31
LOC111123422	Q7KQL8
LOC111125492	P18519
LOC111125491	Q9JHX4
LOC111126374	A9JS51
LOC111122795	Q39565
LOC111126408	P56819
LOC111125886	Q921N8
LOC111125888	Q86UT8
LOC111126596	P57737
LOC111127075	Q96EY1
LOC111127075	Q99M87
LOC111122648	A0JMU5
LOC111127369	O95714
LOC111124002	A8T6P4
LOC111127539	Q96PB1
LOC111127539	Q7TN73
LOC111126407	O75899
LOC111125462	Q9U4L6
LOC111125460	Q5ZL57
LOC111123634	Q6GPD0
LOC111125819	Q80Z96
LOC111127413	Q86W34
LOC111127413	Q5R4A6
LOC111127414	Q5R4A6
LOC111127411	Q6P2X9
LOC111122514	Q8T674
LOC111122514	Q55EH8
LOC111127099	A9JS51
LOC111122636	Q39565
LOC111126043	P56819
LOC111125299	Q921N8
LOC111125300	Q86UT8
LOC111126566	P57737
LOC111126988	Q96EY1
LOC111126988	Q99M87
LOC111122682	A0JMU5
LOC111127220	O95714
LOC111124650	A8T6P4
LOC111127091	Q7TN73
LOC111127091	Q96PB1
LOC111126307	O75899
LOC111125339	Q9U4L6
LOC111125337	Q5ZL57
LOC111123483	Q6GPD0
LOC111125644	Q80Z96
LOC111126546	Q5R4A6
LOC111126544	Q6P2X9
LOC111124563	Q8T674
LOC111124564	Q5I7G2
LOC111124565	A2TLM1
LOC111126324	Q6PK81
LOC111126320	Q5TYW1
LOC111126632	P10074
LOC111122620	Q9GZQ3
LOC111124220	Q17RB8
LOC111124662	Q9NV70
LOC111125546	P70582
LOC111124876	Q7ZW00
LOC111123775	P46018
LOC111125627	Q3EC11
LOC111125628	P62878
LOC111122879	Q6DGW9
LOC111126757	Q26474
LOC111126699	Q32KI9
LOC111126700	P50429
LOC111123401	Q08CG8
LOC111126623	Q95LU3
LOC111126136	Q3MHV6
LOC111125022	P46100
LOC111127507	Q9CZJ2
LOC111123644	Q9CZJ2
LOC111124224	Q9CZJ2
LOC111125772	Q9VF08
LOC111122590	Q8AVS8
LOC111123089	Q0EEE2
LOC111126484	Q60648
LOC111125781	O54873
LOC111123078	D2GXS7
LOC111124929	Q9WV60
LOC111124927	P13607
LOC111126805	O70628
LOC111123216	P04634
LOC111124225	Q8K0F1
LOC111126385	Q7ZW00
LOC111123610	Q8BWJ3
LOC111123610	Q9W391
LOC111125714	Q3EC11
LOC111125715	P62878
LOC111123235	Q6DGW9
LOC111126601	Q26474
LOC111122842	Q32KI9
LOC111123113	P50429
LOC111122894	Q08CG8
LOC111126666	Q95LU3
LOC111126145	Q3MHV6
LOC111124987	Q7YQM4
LOC111126474	Q9CZJ2
LOC111123686	Q9CZJ2
LOC111125996	Q9VF08
LOC111126170	Q922Q8
LOC111126169	Q0EEE2
LOC111126070	Q60648
LOC111125822	O54873
LOC111123096	D2GXS7
LOC111125073	Q5YJC2
LOC111125072	P13607
LOC111126760	O70628
LOC111123250	P38571
LOC111123250	P04634
LOC111127553	Q5F415
LOC111127555	Q6DFR2
LOC111125852	Q08DJ7
LOC111127458	Q07998
LOC111125881	Q08DJ7
LOC111127047	Q07998
LOC111127046	Q07998
LOC111127045	O95947
LOC111123699	Q07998
LOC111123254	Q9DCJ9
LOC111123011	Q07120
LOC111126707	O00339
LOC111125796	Q924T2
LOC111126877	Q9R0W9
LOC111124780	Q96MM6
LOC111124789	P28606
LOC111124782	Q6DCE3
LOC111124776	B7Z0W9
LOC111124804	D3ZAA9
LOC111124765	Q0KHY3
LOC111124228	Q0KHY3
LOC111124763	Q8TER0
LOC111124774	Q0KHY3
LOC111124774	Q8TER0
LOC111124787	Q8TER0
LOC111124801	P0C1H5
LOC111124768	Q6X862
LOC111124773	Q6KEQ9
LOC111124797	Q9CQR5
LOC111124793	Q6GLN5
LOC111124791	P28606
LOC111124781	Q6DCE3
LOC111124775	B7Z0W9
LOC111124803	D3ZAA9
LOC111124764	Q0KHY3
LOC111124771	Q0KHY3
LOC111124770	Q0KHY3
LOC111124766	Q0KHY3
LOC111124798	P0C1H5
LOC111124767	Q6X862
LOC111124772	Q6KEQ9
LOC111126822	Q9CQR5
LOC111126821	Q9BT67
LOC111127498	P0CY46
LOC111123971	Q6PB44
LOC111122716	Q16831
LOC111126926	Q2TBR7
LOC111126237	Q9H8Y8
LOC111123890	Q5IS50
LOC111123366	P04758
LOC111127436	Q99MA2
LOC111127436	B1AVD1
LOC111126074	B1AVD1
LOC111123821	Q924A2
LOC111126341	Q4R5Y0
LOC111122717	A4IH75
LOC111123210	Q4LDD4
LOC111126774	Q9QZN3
LOC111125018	O75592
LOC111125021	O75592
LOC111125407	Q9HC56
LOC111125418	Q5JZQ9
LOC111125421	Q9R1K9
LOC111125413	Q9BZE4
LOC111125416	Q9HCJ2
LOC111125415	Q9HCJ2
LOC111125408	Q9HC56
LOC111125414	Q07837
LOC111125419	Q6GMG6
LOC111125405	Q9HC56
LOC111125406	Q96JQ0
LOC111125411	Q71M42
LOC111125412	Q9BZA8
LOC111126599	Q8K0U4
LOC111123992	Q6UW60
LOC111123992	P23377
LOC111123992	O17798
LOC111125728	Q6UW60
LOC111125730	Q6UW60
LOC111127198	Q96MM6
LOC111123121	Q8K0U4
LOC111127145	Q502W6
LOC111127146	Q5BLG4
LOC111127146	F1QXD3
LOC111123536	Q8C9A2
LOC111124865	E0CZ16
LOC111124865	F1LZ52
LOC111124868	Q9CRB3
LOC111124864	Q9UM73
LOC111124239	Q7Z443
LOC111124240	Q7Z443
LOC111122533	Q63060
LOC111123451	Q63470
LOC111127563	O88822
LOC111127405	Q7RTX9
LOC111124243	Q9R1A8
LOC111127404	P21520
LOC111125868	O43543
LOC111125049	Q5EA50
LOC111125048	P52735
LOC111125862	R9UTQ8
LOC111125863	O14082
LOC111124244	Q6GP28
LOC111127282	A2AX52
LOC111125581	O75581
LOC111124245	P10394
LOC111127524	O18868
LOC111123642	O18783
LOC111126650	Q02576
LOC111122673	A5A4K9
LOC111124523	Q2T9I5
LOC111124524	Q6DHK8
LOC111124522	Q8K2Y0
LOC111126708	Q16534
LOC111127127	P51521
LOC111125825	B3EWZ6
LOC111124593	B9ENM6
LOC111124590	Q2TA14
LOC111124592	Q9VCA9
LOC111122627	A0FKN5
LOC111124250	Q16445
LOC111124251	O01346
LOC111127257	O02467
LOC111127258	Q5F361
LOC111123152	Q9QZD5
LOC111123598	P18715
LOC111125363	Q66GS9
LOC111125363	Q6P5D4
LOC111126416	Q27J81
LOC111126416	Q6NTV6
LOC111125242	Q9MYM7
LOC111125378	Q6FG11
LOC111124666	P14099
LOC111125526	P42262
LOC111125527	Q8K0U4
LOC111124487	Q8K0U4
LOC111124486	Q8K0U4
LOC111124486	Q96MM6
LOC111124485	Q8K0U4
LOC111126559	Q96MM6
LOC111124252	Q9IA76
LOC111125738	Q96CX2
LOC111126171	Q62784
LOC111127041	Q7RTY1
LOC111125803	Q5R5M4
LOC111125803	Q8K1C7
LOC111122548	Q8R0M8
LOC111126191	Q7RTX9
LOC111127155	Q5M9H0
LOC111125780	A0A1L8EYB2
LOC111124936	F1NY98
LOC111123648	Q8K1N2
LOC111123648	Q63312
LOC111123507	Q6BEB4
LOC111123493	Q8NEV4
LOC111123501	Q5UQP2
LOC111124257	Q60847
LOC111123505	P09481
LOC111123500	Q9FMB4
LOC111123495	Q01177
LOC111123504	P43143
LOC111123497	A0FKN5
LOC111124260	P19969
LOC111123506	O01346
LOC111123509	O02467
LOC111123496	Q5F361
LOC111123499	Q9QZD5
LOC111123498	P18715
LOC111123494	Q66GS9
LOC111123494	Q6P5D4
LOC111125799	Q0IHV1
LOC111125799	Q6NTV6
LOC111125669	Q9MYM7
LOC111125569	Q30NT6
LOC111123979	P14099
LOC111126024	P42262
LOC111126029	Q8K0U4
LOC111126030	Q96MM6
LOC111126026	Q96MM6
LOC111126026	Q8K0U4
LOC111126028	O43301
LOC111126027	Q96MM6
LOC111126025	Q8K0U4
LOC111126793	Q96MM6
LOC111124261	Q9IA76
LOC111126033	Q96CX2
LOC111126381	Q62784
LOC111127521	P98156
LOC111123618	D3YXG0
LOC111127447	Q8K1C7
LOC111126031	Q5R5M4
LOC111126602	M0RCI4
LOC111124852	Q7RTX9
LOC111124851	Q5M9H0
LOC111125768	A0A1L8EYB2
LOC111125387	F1NY98
LOC111122811	Q8K1N2
LOC111122811	Q63312
LOC111123224	Q6BEB4
LOC111124554	Q8NEV4
LOC111124269	Q60847
LOC111126318	P09481
LOC111126317	Q9FMB4
LOC111123420	Q01177
LOC111126238	P43143
LOC111122937	Q1JQA0
LOC111122937	Q6PCJ9
LOC111126166	A0A8V1ABE9
LOC111126568	Q32LP4
LOC111124629	Q6U841
LOC111126750	Q91VB4
LOC111124270	Q20930
LOC111125150	Q9Y493
LOC111125153	Q20930
LOC111125162	Q07837
LOC111125175	P0CB42
LOC111125178	Q08D01
LOC111125169	Q5RAX0
LOC111125157	Q9WUB3
LOC111124271	A1A4Q2
LOC111125155	Q5F3L1
LOC111125173	Q5R868
LOC111125149	Q8R4P9
LOC111125180	Q5R589
LOC111125174	Q86V25
LOC111125165	Q5RGT6
LOC111125168	Q8WV16
LOC111125179	Q8NBD8
LOC111125160	F4IYM4
LOC111125183	Q5FWF7
LOC111125177	O09101
LOC111125171	B1AVY7
LOC111125151	B1AVY7
LOC111125176	Q5RC21
LOC111124272	Q5FWI3
LOC111125170	Q6NT16
LOC111125167	O35920
LOC111125163	Q8TER0
LOC111125158	Q96JB6
LOC111125164	Q96MM6
LOC111125152	Q20930
LOC111125159	Q20930
LOC111125156	Q20930
LOC111122504	Q7YW31
LOC111126284	G5E8K5
LOC111124274	Q0IIF9
LOC111123229	O55071
LOC111125733	O55071
LOC111125732	P18910
LOC111125367	O57592
LOC111125368	A5WUL3
LOC111124640	Q9EPB1
LOC111125112	O15120
LOC111126293	Q75WE7
LOC111126293	O00534
LOC111124277	Q99KC8
LOC111125191	Q9BZE3
LOC111126306	Q9BZE3
LOC111123774	Q9BZE3
LOC111126190	Q9BYN0
LOC111126588	Q8BWQ4
LOC111125937	Q9DCD2
LOC111125452	P81274
LOC111122549	Q4KLI9
LOC111126574	Q92805
LOC111125445	Q8K0E3
LOC111123100	Q9M8K7
LOC111123099	Q556Y8
LOC111125755	Q27ID4
LOC111125755	O14746
LOC111125393	A5A8Y8
LOC111125392	Q28864
LOC111123676	Q5SZK8
LOC111127515	Q96MM6
LOC111123454	Q96MM6
LOC111123456	O43301
LOC111123455	Q9CZJ2
LOC111123452	O43301
LOC111127593	Q8K0U4
LOC111123038	O43301
LOC111123253	Q8K0U4
LOC111122980	Q96MM6
LOC111125249	Q96MM6
LOC111125248	Q9NRZ9
LOC111122726	O43301
LOC111126914	Q8K0U4
LOC111127126	Q96MM6
LOC111125389	Q8K0U4
LOC111124280	Q6R1L1
LOC111125390	Q3SWX0
LOC111126194	Q01664
LOC111126038	Q9BZE0
LOC111124528	A7T1N0
LOC111126173	Q8WXW3
LOC111126576	Q14CM0
LOC111126578	Q5XJK1
LOC111126185	A7SNN5
LOC111123833	A0A1U8QWA2
LOC111125538	P16330
LOC111125535	Q60716
LOC111125537	Q1RMU3
LOC111126412	Q9WVG9
LOC111125312	O43301
LOC111125318	Q8K0U4
LOC111125317	Q8K0U4
LOC111125313	Q8K0U4
LOC111125316	O43301
LOC111127420	Q60560
LOC111124016	O96064
LOC111125490	Q8VEH0
LOC111127664	O14657
LOC111127012	Q9ER39
LOC111126064	P34611
LOC111126067	O95671
LOC111126065	Q4V7A8
LOC111122535	Q9NVU7
LOC111124909	Q55E58
LOC111124912	Q96B26
LOC111124911	Q6IRM9
LOC111124910	P34611
LOC111122578	Q3ULZ2
LOC111124549	Q6PG95
LOC111124550	Q6ZWJ1
LOC111124553	O95164
LOC111126405	Q8IZ81
LOC111125783	O70472
LOC111127491	Q06203
LOC111127492	P38024
LOC111125030	Q9VJJ7
LOC111125089	Q8NBS3
LOC111125090	Q9GZS1
LOC111123817	O45947
LOC111124697	Q8IYA7
LOC111124627	O54998
LOC111124625	Q08CH3
LOC111124622	Q9Y345
LOC111124623	A7Y2W8
LOC111124621	P24733
LOC111125791	Q921M4
LOC111125369	F1LQ48
LOC111123801	O77245
LOC111123813	B3MKS0
LOC111122903	Q8IQF1
LOC111126963	Q07120
LOC111122660	Q9MYM7
LOC111126875	Q24488
LOC111122913	Q868T3
LOC111127462	Q6ING9
LOC111123117	Q62632
LOC111123117	Q5R9Y1
LOC111123117	Q58D84
LOC111123369	Q3C1V8
LOC111124859	Q864R9
LOC111124633	Q80Y83
LOC111124633	Q155Q3
LOC111124633	Q2VUH7
LOC111126788	O08550
LOC111123786	Q7LHG5
LOC111126281	Q8IT98
LOC111126280	O57594
LOC111126815	P46461
LOC111126651	O42280
LOC111127135	P21551
LOC111126345	P22727
LOC111126881	P70701
LOC111127290	Q61143
LOC111125930	A4Q9F4
LOC111125273	A4Q9F4
LOC111124284	Q5ZHW4
LOC111127532	S8FIE4
LOC111123293	R9UTQ8
LOC111125081	Q9MYM7
LOC111127085	Q3ZCH9
LOC111122848	O14972
LOC111126006	F7E235
LOC111126006	D3ZAT9
LOC111126005	F7E235
LOC111126009	F7E235
LOC111126008	F7E235
LOC111123796	Q9Y4C4
LOC111122875	P48319
LOC111125481	Q3U0L2
LOC111127391	Q99933
LOC111126676	Q460N5
LOC111123406	Q460N5
LOC111126234	Q922V4
LOC111124988	Q5XI14
LOC111124989	Q9Y345
LOC111126555	Q8K0U4
LOC111124584	Q8K0U4
LOC111124583	Q8K0U4
LOC111123248	Q5JR59
LOC111125304	P36956
LOC111127007	O08623
LOC111127536	Q32NR4
LOC111125431	Q9CZV5
LOC111125428	Q27802
LOC111125379	Q5PPL2
LOC111123360	Q9Y233
LOC111125320	D3YXG0
LOC111125323	Q7Z4T9
LOC111126197	Q96KN3
LOC111123894	A9JTP3
LOC111123895	Q3U9G9
LOC111123895	Q71KT5
LOC111123896	P38117
LOC111123897	Q86BN8
LOC111126890	P50239
LOC111126905	Q9BGP6
LOC111126300	A7MBP4
LOC111125001	Q96MT7
LOC111122738	Q9UJX6
LOC111123784	Q86UW6
LOC111125107	Q4VA53
LOC111126803	Q17GZ9
LOC111126802	Q7YR39
LOC111126804	Q920Q8
LOC111126179	Q5ZJU4
LOC111122581	Q8IZE3
LOC111125280	Q1LVF3
LOC111125042	P62289
LOC111123822	Q9Y6R7
LOC111125206	Q9UHP3
LOC111124614	B5X1G3
LOC111124615	Q5ZIJ0
LOC111124613	Q9H1I8
LOC111123421	Q3TYE7
LOC111123331	F1QLP1
LOC111126991	F1RE57
LOC111125293	Q7YQK4
LOC111126818	Q09225
LOC111125999	Q9HC56
LOC111125043	Q9HC56
LOC111125045	Q6KEQ9
LOC111125046	O93430
LOC111125046	F1R8P4
LOC111122567	O75311
LOC111126288	Q9DBX3
LOC111123091	P34501
LOC111123090	Q9DBX3
LOC111123090	P34501
LOC111122957	Q9TST4
LOC111122956	P19491
LOC111124655	P26591
LOC111124656	P26591
LOC111123400	P26591
LOC111125643	Q6XPS3
LOC111126068	Q86XL3
LOC111123965	Q7PR68
LOC111123966	P24604
LOC111123969	Q5U3V7
LOC111123968	P97504
LOC111127242	Q9NUQ7
LOC111126209	P25153
LOC111126209	Q9Z255
LOC111122969	Q9CR16
LOC111125478	Q9DF58
LOC111126333	Q9W445
LOC111123575	Q6YHK3
LOC111126424	O75581
LOC111126736	Q5ZJR3
LOC111124903	Q16956
LOC111123061	O35127
LOC111124294	O94762
LOC111127372	Q6P1Z5
LOC111126883	Q8ITC3
LOC111124669	Q6P4S6
LOC111122588	Q8VIG3
LOC111124295	Q96DM1
LOC111126220	O35451
LOC111125240	P27085
LOC111125241	P54612
LOC111126298	Q91XB0
LOC111122727	F1NV61
LOC111126152	P43143
LOC111126152	Q27218
LOC111126992	P48180
LOC111123030	P09481
LOC111126297	P43143
LOC111122809	P09481
LOC111123683	P48180
LOC111127514	P07686
LOC111123735	Q5XI68
LOC111122642	Q8BSN3
LOC111122641	Q3YEC7
LOC111126186	P23128
LOC111126661	Q969T7
LOC111126661	Q9H0P0
LOC111126455	Q63421
LOC111127180	Q96LT4
LOC111126391	Q7ZUC7
LOC111126392	F1QGD2
LOC111124299	F1QGD2
LOC111122519	Q4UMH6
LOC111122837	Q80VW7
LOC111122840	Q9UGQ2
LOC111123850	Q5XI94
LOC111123850	Q9NSG2
LOC111123852	Q92072
LOC111126295	P0C6B8
LOC111126295	Q22328
LOC111123882	D3YXG0
LOC111123883	H2A0M7
LOC111126156	O94760
LOC111124300	Q5TZ24
LOC111122876	Q5TZ24
LOC111125328	Q5TZ24
LOC111123142	Q90421
LOC111127014	O02467
LOC111127219	A6QLT2
LOC111124011	P53767
LOC111122853	Q5R9L9
LOC111126375	P04813
LOC111126203	Q86XE3
LOC111126996	P53370
LOC111124468	Q9D7Z6
LOC111124468	Q14CN2
LOC111124473	Q08257
LOC111124472	O97764
LOC111125947	O14522
LOC111124301	Q862Z3
LOC111125991	Q3YLA4
LOC111125961	O15226
LOC111124302	A4IFW2
LOC111125973	Q26065
LOC111125975	O00115
LOC111125975	P56542
LOC111125977	Q75WF2
LOC111125979	Q75WF2
LOC111125976	O00115
LOC111125948	Q6P9Q6
LOC111125988	Q8WNR0
LOC111125960	Q9NZL6
LOC111125960	Q60695
LOC111125967	Q80SY5
LOC111125967	Q6AXY7
LOC111125963	P83095
LOC111125958	Q9Z0U0
LOC111125982	Q60809
LOC111125974	Q8CHS8
LOC111125987	Q8WV99
LOC111125965	Q05B21
LOC111125985	Q24JV9
LOC111125956	P21575
LOC111125989	Q5HZL9
LOC111125942	Q7Z7A1
LOC111125942	A2AL36
LOC111125955	B3EWZ5
LOC111125957	Q08D64
LOC111125983	B8V7S0
LOC111125978	Q5FWL3
LOC111125992	Q7T3Y0
LOC111125966	Q5ZM96
LOC111125986	P92204
LOC111125952	Q8CGF6
LOC111125952	O94967
LOC111125954	Q9Y2K6
LOC111125953	Q15262
LOC111125945	Q9UGM3
LOC111126782	Q75W84
LOC111125310	Q5QJ74
LOC111125311	Q9UI14
LOC111123151	C3ZQF9
LOC111125223	Q5CD18
LOC111126698	Q86TI4
LOC111125040	Q8K078
LOC111125041	H2A0L8
LOC111125790	H2A0L8
LOC111125789	H2A0L8
LOC111124305	H2A0L8
LOC111125539	H2A0L8
LOC111126510	Q8C0R9
LOC111126508	O75165
LOC111127468	O01391
LOC111127465	O60343
LOC111127465	Q86TI0
LOC111124635	Q0E908
LOC111124636	Q96IZ5
LOC111122566	Q8IUR5
LOC111126728	P07314
LOC111124306	Q6GQJ2
LOC111123594	P57682
LOC111125205	P61765
LOC111123983	Q13905
LOC111123982	E9Q236
LOC111123985	Q6TFL4
LOC111123987	Q6TFL4
LOC111123988	Q91642
LOC111123986	Q6TFL4
LOC111126765	Q91642
LOC111125214	Q80UV9
LOC111125809	Q2YDN4
LOC111125427	Q5R8Z8
LOC111127173	Q5FVB2
LOC111126579	Q01105
LOC111124751	Q9D061
LOC111126433	Q01241
LOC111126433	Q01240
LOC111126863	Q28FE4
LOC111123588	Q08603
LOC111123586	Q8K1C7
LOC111124527	P40821
LOC111124525	Q9NRR4
LOC111122491	Q9V6X7
LOC111125455	Q91614
LOC111126417	Q6NZQ2
LOC111125904	Q5XK91
LOC111125904	O70497
LOC111123241	Q6YP21
LOC111123240	Q80ZI6
