Genes	GOslim.BP	Term
LOC111131355	GO:0006260	DNA replication
LOC111131610	GO:0016071	mRNA metabolic process
LOC111131691	GO:0006914	autophagy
LOC111131738	GO:0006914	autophagy
LOC111131759	GO:0006629	lipid metabolic process
LOC111132058	GO:0006914	autophagy
LOC111132118	GO:0016071	mRNA metabolic process
LOC111132123	GO:0000278;GO:0007010;GO:0007059;GO:0140014	mitotic cell cycle;cytoskeleton organization;chromosome segregation;mitotic nuclear division
LOC111132159	GO:0006486	protein glycosylation
LOC111132235	GO:0023052	signaling
LOC111132381	GO:0006260	DNA replication
LOC111132442	GO:0007005	mitochondrion organization
LOC111132545	GO:0006629	lipid metabolic process
LOC111132602	GO:0098542	defense response to other organism
LOC111132883	GO:0022414	reproductive process
LOC111132893	GO:0042060;GO:0061024	wound healing;membrane organization
LOC111132903	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111132954	GO:0044782	cilium organization
LOC111132966	GO:0007163	establishment or maintenance of cell polarity
LOC111133030	GO:0140053	mitochondrial gene expression
LOC111133120	GO:0006914	autophagy
LOC111133160	GO:0000910	cytokinesis
LOC111133204	GO:0044782	cilium organization
LOC111133220	GO:0000910	cytokinesis
LOC111133363	GO:0006914	autophagy
LOC111133466	GO:0000910	cytokinesis
LOC111133500	GO:0023052	signaling
LOC111133538	GO:0006486	protein glycosylation
LOC111133542	GO:0006486	protein glycosylation
LOC111133846	GO:0098754	detoxification
LOC111133909	GO:0006260	DNA replication
LOC111134002	GO:0000910	cytokinesis
LOC111134065	GO:0006790	sulfur compound metabolic process
LOC111134073	GO:0003013	circulatory system process
LOC111134136	GO:0006260	DNA replication
LOC111134232	GO:0000910	cytokinesis
LOC111134246	GO:0098542	defense response to other organism
LOC111134286	GO:0016071	mRNA metabolic process
LOC111134321	GO:0007018	microtubule-based movement
LOC111134366	GO:0000910	cytokinesis
LOC111134439	GO:0007163	establishment or maintenance of cell polarity
LOC111134558	GO:0006486	protein glycosylation
LOC111134654	GO:0006260	DNA replication
LOC111134748	GO:0000910	cytokinesis
LOC111134796	GO:0000910	cytokinesis
LOC111134828	GO:0006486	protein glycosylation
LOC111134843	GO:0007018	microtubule-based movement
LOC111134873	GO:0006914	autophagy
LOC111134894	GO:0007031	peroxisome organization
LOC111134900	GO:0006260	DNA replication
LOC111134914	GO:0098542	defense response to other organism
LOC111134926	GO:0006520;GO:0007163;GO:0071941	cellular amino acid metabolic process;establishment or maintenance of cell polarity;nitrogen cycle metabolic process
LOC111134962	GO:0006486	protein glycosylation
LOC111135039	GO:0016071	mRNA metabolic process
LOC111135084	GO:0000910	cytokinesis
LOC111135130	GO:0006766	vitamin metabolic process
LOC111135160	GO:0023052	signaling
LOC111135198	GO:0006281	DNA repair
LOC111135201	GO:0006629;GO:0007031	lipid metabolic process;peroxisome organization
LOC111135204	GO:0006351;GO:0006355	DNA-templated transcription;regulation of DNA-templated transcription
LOC111135214	GO:0006351;GO:0006355	DNA-templated transcription;regulation of DNA-templated transcription
LOC111135242	GO:0006486	protein glycosylation
LOC111135243	GO:0006486	protein glycosylation
LOC111135311	GO:0000910	cytokinesis
LOC111135354	GO:0006281	DNA repair
LOC111135402	GO:0006260	DNA replication
LOC111135419	GO:0006629;GO:0007031	lipid metabolic process;peroxisome organization
LOC111135459	GO:0006914	autophagy
LOC111135538	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111135588	GO:0000910	cytokinesis
LOC111135601	GO:0042060;GO:0061024	wound healing;membrane organization
LOC111135650	GO:0032200	telomere organization
LOC111135704	GO:0048870	cell motility
LOC111135719	GO:0000910	cytokinesis
LOC111135747	GO:0006914	autophagy
LOC111135773	GO:0071941	nitrogen cycle metabolic process
LOC111135799	GO:0006260	DNA replication
LOC111135837	GO:0000910	cytokinesis
LOC111135858	GO:0000910	cytokinesis
LOC111135891	GO:0006629	lipid metabolic process
LOC111135903	GO:0007005	mitochondrion organization
LOC111135911	GO:0042060;GO:0061024	wound healing;membrane organization
LOC111135949	GO:0007155	cell adhesion
LOC111135967	GO:0000910	cytokinesis
LOC111135979	GO:0006260	DNA replication
LOC111136087	GO:0006954	inflammatory response
LOC111136247	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111136350	GO:0016071	mRNA metabolic process
LOC111136414	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111136418	GO:0016071	mRNA metabolic process
LOC111136471	GO:0023052	signaling
LOC111136530	GO:0016071	mRNA metabolic process
LOC111136545	GO:0023052	signaling
LOC111136571	GO:0006486	protein glycosylation
LOC111136704	GO:0006281	DNA repair
LOC111136776	GO:0007018	microtubule-based movement
LOC111136783	GO:0006486	protein glycosylation
LOC111136814	GO:0003014;GO:0050886	renal system process;endocrine process
LOC111136820	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111136878	GO:0042060;GO:0061024	wound healing;membrane organization
LOC111136887	GO:0016071	mRNA metabolic process
LOC111137006	GO:0042254;GO:0065003	ribosome biogenesis;protein-containing complex assembly
LOC111137033	GO:0006486	protein glycosylation
LOC111137055	GO:0016192	vesicle-mediated transport
LOC111137076	GO:0002181	cytoplasmic translation
LOC111137092	GO:0032200	telomere organization
LOC111137096	GO:0007018;GO:0044782	microtubule-based movement;cilium organization
LOC111137112	GO:0007018	microtubule-based movement
LOC111137141	GO:0016192	vesicle-mediated transport
LOC111137144	GO:0016192	vesicle-mediated transport
LOC111137169	GO:0007018	microtubule-based movement
LOC111137193	GO:0032200	telomere organization
LOC111137235	GO:0006914	autophagy
LOC111137307	GO:0044782	cilium organization
LOC111137404	GO:0006790	sulfur compound metabolic process
LOC111137412	GO:0006310	DNA recombination
LOC111137463	GO:0051604	protein maturation
LOC111137472	GO:0007018	microtubule-based movement
LOC111137582	GO:0006260	DNA replication
LOC111137682	GO:0006629	lipid metabolic process
LOC111137687	GO:0006260	DNA replication
LOC111137731	GO:0006486	protein glycosylation
LOC111137936	GO:0007018	microtubule-based movement
LOC111137946	GO:0032200	telomere organization
LOC111137947	GO:0007018	microtubule-based movement
LOC111138032	GO:0006486	protein glycosylation
LOC111138063	GO:0007018	microtubule-based movement
LOC111138197	GO:0000910	cytokinesis
LOC111138426	GO:0006629	lipid metabolic process
LOC111138439	GO:0098542	defense response to other organism
LOC111138487	GO:0016071	mRNA metabolic process
NA	GO:0015979;GO:0061007	photosynthesis;hepaticobiliary system process
